fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality
7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5
7.8,0.88,0.0,0.098,67.0,0.9968,0.68,9.8,5
7.8,0.76,0.04,0.092,54.0,0.997,0.65,9.8,5
11.2,0.28,0.56,0.075,60.0,0.998,0.58,9.8,6
7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5
7.4,0.66,0.0,0.075,40.0,0.9978,0.56,9.4,5
7.9,0.6,0.06,0.069,59.0,0.9964,0.46,9.4,5
7.3,0.65,0.0,0.065,21.0,0.9946,0.47,10.0,7
7.8,0.58,0.02,0.073,18.0,0.9968,0.57,9.5,7
7.5,0.5,0.36,0.071,102.0,0.9978,0.8,10.5,5
6.7,0.58,0.08,0.0969999999999999,65.0,0.9959,0.54,9.2,5
7.5,0.5,0.36,0.071,102.0,0.9978,0.8,10.5,5
5.6,0.615,0.0,0.089,59.0,0.9943,0.52,9.9,5
7.8,0.61,0.29,0.114,29.0,0.9974,1.56,9.1,5
8.9,0.62,0.18,0.176,145.0,0.9986,0.88,9.2,5
8.9,0.62,0.19,0.17,148.0,0.9986,0.93,9.2,5
8.5,0.28,0.56,0.092,103.0,0.9969,0.75,10.5,7
8.1,0.56,0.28,0.368,56.0,0.9968,1.28,9.3,5
7.4,0.59,0.08,0.086,29.0,0.9974,0.5,9.0,4
7.9,0.32,0.51,0.341,56.0,0.9969,1.08,9.2,6
8.9,0.22,0.48,0.077,60.0,0.9968,0.53,9.4,6
7.6,0.39,0.31,0.0819999999999999,71.0,0.9982,0.65,9.7,5
7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5
8.5,0.49,0.11,0.084,67.0,0.9968,0.53,9.4,5
6.9,0.4,0.14,0.085,40.0,0.9968,0.63,9.7,6
6.3,0.39,0.16,0.08,23.0,0.9955,0.56,9.3,5
7.6,0.41,0.24,0.08,11.0,0.9962,0.59,9.5,5
7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5
7.1,0.71,0.0,0.08,35.0,0.9972,0.55,9.4,5
7.8,0.645,0.0,0.0819999999999999,16.0,0.9964,0.59,9.8,6
6.7,0.675,0.07,0.089,82.0,0.9958,0.54,10.1,5
6.9,0.685,0.0,0.105,37.0,0.9966,0.57,10.6,6
8.3,0.655,0.12,0.083,113.0,0.9966,0.66,9.8,5
6.9,0.605,0.12,0.073,83.0,0.9993,0.52,9.4,6
5.2,0.32,0.25,0.103,50.0,0.9957,0.55,9.2,5
7.8,0.645,0.0,0.086,18.0,0.9986,0.55,9.6,6
7.8,0.6,0.14,0.086,15.0,0.9975,0.6,10.8,6
8.1,0.38,0.28,0.066,30.0,0.9968,0.73,9.7,7
5.7,1.13,0.09,0.172,19.0,0.994,0.48,9.8,4
7.3,0.45,0.36,0.074,87.0,0.9978,0.83,10.5,5
7.3,0.45,0.36,0.074,87.0,0.9978,0.83,10.5,5
8.8,0.61,0.3,0.088,46.0,0.9976,0.51,9.3,4
7.5,0.49,0.2,0.332,14.0,0.9968,0.9,10.5,6
8.1,0.66,0.22,0.069,23.0,0.9968,1.2,10.3,5
6.8,0.67,0.02,0.05,11.0,0.9962,0.52,9.5,5
4.6,0.52,0.15,0.054,65.0,0.9934,0.56,13.1,4
7.7,0.935,0.43,0.114,114.0,0.997,0.73,9.2,5
8.7,0.29,0.52,0.113,37.0,0.9969,0.58,9.5,5
6.4,0.4,0.23,0.066,12.0,0.9958,0.56,9.2,5
5.6,0.31,0.37,0.074,96.0,0.9954,0.58,9.2,5
8.8,0.66,0.26,0.074,23.0,0.9971,0.74,9.2,5
6.6,0.52,0.04,0.069,15.0,0.9956,0.63,9.4,6
6.6,0.5,0.04,0.068,14.0,0.9955,0.64,9.4,6
8.6,0.38,0.36,0.081,119.0,0.997,0.56,9.4,5
7.6,0.51,0.15,0.11,73.0,0.9955,0.63,10.2,6
7.7,0.62,0.04,0.084,45.0,0.9978,0.53,9.5,5
10.2,0.42,0.57,0.07,10.0,0.9971,0.63,9.6,5
7.5,0.63,0.12,0.111,110.0,0.9983,0.77,9.4,5
7.8,0.59,0.18,0.076,54.0,0.9975,0.59,10.0,5
7.3,0.39,0.31,0.074,46.0,0.9962,0.54,9.4,6
8.8,0.4,0.4,0.079,52.0,0.998,0.64,9.2,5
7.7,0.69,0.49,0.115,112.0,0.9968,0.71,9.3,5
7.5,0.52,0.16,0.085,35.0,0.9968,0.62,9.5,7
7.0,0.735,0.05,0.081,54.0,0.9966,0.57,9.8,5
7.2,0.725,0.05,0.086,11.0,0.9962,0.39,10.9,5
7.2,0.725,0.05,0.086,11.0,0.9962,0.39,10.9,5
7.5,0.52,0.11,0.079,39.0,0.9968,0.58,9.6,5
6.6,0.705,0.07,0.076,15.0,0.9962,0.58,10.7,5
9.3,0.32,0.57,0.074,65.0,0.9969,0.79,10.7,5
8.0,0.705,0.05,0.074,19.0,0.9962,0.95,10.5,6
7.7,0.63,0.08,0.076,27.0,0.9967,0.54,9.5,6
7.7,0.67,0.23,0.088,96.0,0.9962,0.48,9.5,5
7.7,0.69,0.22,0.084,94.0,0.9961,0.48,9.5,5
8.3,0.675,0.26,0.084,43.0,0.9976,0.53,9.2,4
9.7,0.32,0.54,0.094,83.0,0.9984,0.82,9.6,5
8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5
8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5
6.8,0.785,0.0,0.104,30.0,0.9966,0.55,10.7,6
6.7,0.75,0.12,0.086,80.0,0.9958,0.52,10.1,5
8.3,0.625,0.2,0.08,119.0,0.9972,1.12,9.1,4
6.2,0.45,0.2,0.069,15.0,0.9958,0.56,9.2,5
7.8,0.43,0.7,0.4639999999999999,67.0,0.9974,1.28,9.4,5
7.4,0.5,0.47,0.086,73.0,0.997,0.57,9.1,5
7.3,0.67,0.26,0.401,51.0,0.9969,1.14,9.4,5
6.3,0.3,0.48,0.069,61.0,0.9959,0.78,10.3,6
6.9,0.55,0.15,0.076,40.0,0.9961,0.59,10.1,5
8.6,0.49,0.28,0.11,136.0,0.9972,1.95,9.9,6
7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5
9.3,0.39,0.44,0.107,125.0,0.9978,1.22,9.5,5
7.0,0.62,0.08,0.076,24.0,0.9978,0.53,9.0,5
7.9,0.52,0.26,0.079,140.0,0.9964,0.54,9.5,5
8.6,0.49,0.28,0.11,136.0,0.9972,1.95,9.9,6
8.6,0.49,0.29,0.11,133.0,0.9972,1.98,9.8,5
7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5
5.0,1.02,0.04,0.045,85.0,0.9938,0.48,10.5,4
4.7,0.6,0.17,0.0579999999999999,106.0,0.9932,0.6,12.9,6
6.8,0.775,0.0,0.102,23.0,0.9965,0.56,10.7,5
7.0,0.5,0.25,0.07,22.0,0.9963,0.63,9.2,5
7.6,0.9,0.06,0.079,10.0,0.9967,0.56,9.8,5
8.1,0.545,0.18,0.08,35.0,0.9972,0.59,9.0,6
8.3,0.61,0.3,0.084,50.0,0.9972,0.61,10.2,6
7.8,0.5,0.3,0.075,22.0,0.9959,0.56,10.4,6
8.1,0.545,0.18,0.08,35.0,0.9972,0.59,9.0,6
8.1,0.575,0.22,0.077,65.0,0.9967,0.51,9.2,5
7.2,0.49,0.24,0.07,36.0,0.996,0.48,9.4,5
8.1,0.575,0.22,0.077,65.0,0.9967,0.51,9.2,5
7.8,0.41,0.68,0.467,69.0,0.9973,1.31,9.3,5
6.2,0.63,0.31,0.088,64.0,0.9969,0.79,9.3,5
8.0,0.33,0.53,0.091,80.0,0.9976,0.8,9.6,6
8.1,0.785,0.52,0.122,153.0,0.9969,0.69,9.3,5
7.8,0.56,0.19,0.104,47.0,0.9964,0.93,9.5,5
8.4,0.62,0.09,0.084,108.0,0.9964,0.66,9.8,5
8.4,0.6,0.1,0.085,111.0,0.9964,0.66,9.8,5
10.1,0.31,0.44,0.08,46.0,0.9988,0.67,9.7,6
7.8,0.56,0.19,0.104,47.0,0.9964,0.93,9.5,5
9.4,0.4,0.31,0.09,62.0,0.9966,0.63,10.5,6
8.3,0.54,0.28,0.077,40.0,0.9978,0.61,10.0,6
7.8,0.56,0.12,0.0819999999999999,28.0,0.997,0.5,9.4,6
8.8,0.55,0.04,0.119,56.0,0.9962,0.6,10.9,6
7.0,0.69,0.08,0.0969999999999999,89.0,0.9959,0.54,9.2,6
7.3,1.07,0.09,0.178,89.0,0.9962,0.57,9.0,5
8.8,0.55,0.04,0.119,56.0,0.9962,0.6,10.9,6
7.3,0.695,0.0,0.075,13.0,0.998,0.52,9.2,5
8.0,0.71,0.0,0.08,34.0,0.9976,0.53,9.5,5
7.8,0.5,0.17,0.0819999999999999,102.0,0.996,0.48,9.5,5
9.0,0.62,0.04,0.146,90.0,0.9984,0.7,9.4,5
8.2,1.33,0.0,0.081,12.0,0.9964,0.49,10.9,5
8.1,1.33,0.0,0.0819999999999999,12.0,0.9964,0.48,10.9,5
8.0,0.59,0.16,0.065,16.0,0.9962,0.92,10.5,7
6.1,0.38,0.15,0.072,19.0,0.9955,0.57,9.4,5
8.0,0.745,0.56,0.118,134.0,0.9968,0.66,9.4,5
5.6,0.5,0.09,0.049,99.0,0.9937,0.63,13.0,5
5.6,0.5,0.09,0.049,99.0,0.9937,0.63,13.0,5
6.6,0.5,0.01,0.06,26.0,0.9952,0.58,9.8,6
7.9,1.04,0.05,0.084,29.0,0.9959,0.55,9.9,6
8.4,0.745,0.11,0.09,63.0,0.9965,0.82,9.6,5
8.3,0.715,0.15,0.089,52.0,0.9968,0.77,9.5,5
7.2,0.415,0.36,0.081,45.0,0.9972,0.64,9.2,5
7.8,0.56,0.19,0.081,105.0,0.9962,0.54,9.5,5
7.8,0.56,0.19,0.081,108.0,0.9962,0.54,9.5,5
8.4,0.745,0.11,0.09,63.0,0.9965,0.82,9.6,5
8.3,0.715,0.15,0.089,52.0,0.9968,0.77,9.5,5
5.2,0.34,0.0,0.05,63.0,0.9916,0.79,14.0,6
6.3,0.39,0.08,0.066,20.0,0.9954,0.58,9.4,5
5.2,0.34,0.0,0.05,63.0,0.9916,0.79,14.0,6
8.1,0.67,0.55,0.1169999999999999,141.0,0.9968,0.62,9.4,5
5.8,0.68,0.02,0.087,94.0,0.9944,0.52,10.0,5
7.6,0.49,0.26,0.236,88.0,0.9968,0.8,9.3,5
6.9,0.49,0.1,0.074,30.0,0.9959,0.58,10.2,6
8.2,0.4,0.44,0.089,43.0,0.9975,0.61,10.5,6
7.3,0.33,0.47,0.077,11.0,0.9958,0.53,10.3,6
9.2,0.52,1.0,0.61,69.0,0.9996,2.0,9.4,4
7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5
7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5
7.1,0.43,0.42,0.07,129.0,0.9973,0.72,10.5,5
7.1,0.43,0.42,0.071,128.0,0.9973,0.71,10.5,5
7.1,0.43,0.42,0.07,129.0,0.9973,0.72,10.5,5
7.1,0.43,0.42,0.071,128.0,0.9973,0.71,10.5,5
7.1,0.68,0.0,0.073,22.0,0.9969,0.5,9.3,5
6.8,0.6,0.18,0.079,86.0,0.9968,0.57,9.3,6
7.6,0.95,0.03,0.09,20.0,0.9959,0.56,9.6,5
7.6,0.68,0.02,0.072,20.0,0.9965,1.08,9.2,4
7.8,0.53,0.04,0.076,31.0,0.9964,0.56,10.0,6
7.4,0.6,0.26,0.07,121.0,0.9982,0.49,9.4,5
7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4,5
7.8,0.63,0.48,0.1,96.0,0.9961,0.62,9.5,5
6.8,0.64,0.1,0.085,101.0,0.9956,0.52,10.2,5
7.3,0.55,0.03,0.072,42.0,0.9956,0.48,9.0,4
6.8,0.63,0.07,0.089,44.0,0.9953,0.55,10.4,6
7.5,0.705,0.24,0.36,63.0,0.9964,1.59,9.5,5
7.9,0.885,0.03,0.0579999999999999,8.0,0.9972,0.33,9.1,4
8.0,0.42,0.17,0.073,18.0,0.9972,0.61,9.2,6
8.0,0.42,0.17,0.073,18.0,0.9972,0.61,9.2,6
7.4,0.62,0.05,0.068,42.0,0.9961,0.57,11.5,6
7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5,5
6.9,0.5,0.04,0.085,49.0,0.9958,0.78,9.5,5
7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5,5
7.5,0.52,0.42,0.087,38.0,0.9972,0.61,10.5,6
7.0,0.805,0.0,0.068,20.0,0.9969,0.56,9.6,5
8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5
8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5
8.9,0.61,0.49,0.27,110.0,0.9972,1.02,9.3,5
7.2,0.73,0.02,0.076,42.0,0.9972,0.52,9.3,5
6.8,0.61,0.2,0.077,65.0,0.9971,0.58,9.3,5
6.7,0.62,0.21,0.079,62.0,0.997,0.58,9.3,6
8.9,0.31,0.57,0.111,85.0,0.9971,0.53,9.7,5
7.4,0.39,0.48,0.0819999999999999,67.0,0.9972,0.55,9.2,5
7.7,0.705,0.1,0.084,26.0,0.9976,0.49,9.7,5
7.9,0.5,0.33,0.084,143.0,0.9968,0.55,9.5,5
7.9,0.49,0.32,0.0819999999999999,144.0,0.9968,0.55,9.5,5
8.2,0.5,0.35,0.077,127.0,0.9976,0.62,9.4,5
6.4,0.37,0.25,0.074,49.0,0.9974,0.62,9.8,6
6.8,0.63,0.12,0.099,126.0,0.9969,0.61,9.5,5
7.6,0.55,0.21,0.071,28.0,0.9964,0.55,9.7,5
7.6,0.55,0.21,0.071,28.0,0.9964,0.55,9.7,5
7.8,0.59,0.33,0.074,120.0,0.9968,0.54,9.4,5
7.3,0.58,0.3,0.074,55.0,0.9968,0.59,10.2,5
11.5,0.3,0.6,0.067,27.0,0.9981,0.97,10.1,6
5.4,0.835,0.08,0.046,93.0,0.9924,0.85,13.0,7
6.9,1.09,0.06,0.061,31.0,0.9948,0.43,11.4,4
9.6,0.32,0.47,0.0559999999999999,24.0,0.99695,0.82,10.3,7
8.8,0.37,0.48,0.0969999999999999,145.0,0.9975,1.03,9.3,5
6.8,0.5,0.11,0.075,49.0,0.99545,0.79,9.5,5
7.0,0.42,0.35,0.088,39.0,0.9961,0.55,9.2,5
7.0,0.43,0.36,0.089,37.0,0.99615,0.56,9.2,6
12.8,0.3,0.74,0.095,28.0,0.9994,0.77,10.8,7
12.8,0.3,0.74,0.095,28.0,0.9994,0.77,10.8,7
7.8,0.57,0.31,0.069,120.0,0.99625,0.53,9.3,5
7.8,0.44,0.28,0.1,95.0,0.9966,0.67,9.4,5
11.0,0.3,0.58,0.054,19.0,0.998,0.88,10.5,7
9.7,0.53,0.6,0.039,19.0,0.99585,0.86,12.4,6
8.0,0.725,0.24,0.083,62.0,0.99685,0.56,10.0,6
11.6,0.44,0.64,0.059,15.0,0.998,0.67,10.2,6
8.2,0.57,0.26,0.06,65.0,0.9959,0.43,10.1,5
7.8,0.735,0.08,0.092,41.0,0.9974,0.71,9.8,6
7.0,0.49,0.49,0.06,121.0,0.9974,0.76,10.5,5
8.7,0.625,0.16,0.1009999999999999,49.0,0.9962,0.57,11.0,5
8.1,0.725,0.22,0.072,41.0,0.9967,0.55,9.1,5
7.5,0.49,0.19,0.076,44.0,0.9957,0.54,9.7,5
7.8,0.53,0.33,0.08,144.0,0.99655,0.6,9.5,5
7.8,0.34,0.37,0.0819999999999999,58.0,0.9964,0.59,9.4,6
7.4,0.53,0.26,0.1009999999999999,72.0,0.9957,0.57,9.4,5
6.8,0.61,0.04,0.057,10.0,0.99525,0.6,9.5,5
8.6,0.645,0.25,0.083,28.0,0.99815,0.6,10.0,6
8.4,0.635,0.36,0.089,55.0,0.99745,0.57,10.4,4
7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6
8.9,0.59,0.5,0.337,81.0,0.9964,1.61,9.5,6
9.0,0.82,0.14,0.089,23.0,0.9984,0.63,9.8,5
7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6
6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5
5.2,0.48,0.04,0.054,106.0,0.9927,0.62,12.2,7
8.0,0.38,0.06,0.078,49.0,0.99625,0.52,9.9,6
8.5,0.37,0.2,0.09,58.0,0.998,0.7,9.6,6
6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5
8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6
7.2,0.63,0.0,0.0969999999999999,38.0,0.99675,0.58,9.0,6
7.2,0.63,0.0,0.0969999999999999,38.0,0.99675,0.58,9.0,6
7.2,0.645,0.0,0.0969999999999999,39.0,0.99675,0.58,9.2,6
7.2,0.63,0.0,0.0969999999999999,38.0,0.99675,0.58,9.0,6
8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6
8.9,0.635,0.37,0.263,62.0,0.9971,1.09,9.3,5
12.0,0.38,0.56,0.093,24.0,0.99925,0.71,10.9,6
7.7,0.58,0.1,0.102,109.0,0.99565,0.49,9.8,6
15.0,0.21,0.44,0.075,24.0,1.00005,0.84,9.2,7
15.0,0.21,0.44,0.075,24.0,1.00005,0.84,9.2,7
7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6
7.1,0.68,0.07,0.075,51.0,0.99685,0.52,9.5,5
8.2,0.6,0.17,0.072,73.0,0.9963,0.45,9.3,5
7.7,0.53,0.06,0.074,39.0,0.99615,0.48,9.8,6
7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6
10.8,0.32,0.44,0.063,37.0,0.9985,0.78,10.0,6
7.1,0.6,0.0,0.074,34.0,0.9972,0.7,9.9,6
11.1,0.35,0.48,0.09,21.0,0.9986,0.53,10.5,5
7.7,0.775,0.42,0.092,86.0,0.9959,0.59,9.5,5
7.1,0.6,0.0,0.074,34.0,0.9972,0.7,9.9,6
8.0,0.57,0.23,0.073,119.0,0.99675,0.57,9.3,5
9.4,0.34,0.37,0.075,13.0,0.998,0.62,9.2,5
6.6,0.695,0.0,0.075,56.0,0.9968,0.67,9.2,5
7.7,0.41,0.76,0.611,45.0,0.9968,1.26,9.4,5
10.0,0.31,0.47,0.085,33.0,0.99965,0.8,10.5,7
7.9,0.33,0.23,0.077,45.0,0.99625,0.65,9.3,5
7.0,0.975,0.04,0.087,67.0,0.99565,0.6,9.4,4
8.0,0.52,0.03,0.07,35.0,0.99575,0.57,10.0,5
7.9,0.37,0.23,0.077,49.0,0.9963,0.67,9.3,5
12.5,0.56,0.49,0.064,27.0,0.9999,0.87,10.9,5
11.8,0.26,0.52,0.071,10.0,0.9968,0.72,10.2,7
8.1,0.87,0.0,0.096,61.0,1.00025,0.72,9.8,4
7.9,0.35,0.46,0.078,37.0,0.9973,0.86,12.8,8
6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6
11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6
7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7,6
11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6
10.9,0.37,0.58,0.071,65.0,0.99935,0.78,10.1,5
8.4,0.715,0.2,0.076,38.0,0.99735,0.64,9.4,5
7.5,0.65,0.18,0.088,94.0,0.99915,0.77,9.4,5
7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7,6
6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6
11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6
10.3,0.32,0.45,0.073,13.0,0.9976,0.82,12.6,8
8.9,0.4,0.32,0.087,47.0,0.9991,0.77,10.5,7
11.4,0.26,0.44,0.071,19.0,0.9986,0.82,9.3,6
7.7,0.27,0.68,0.358,10.0,0.9972,1.08,9.9,7
7.6,0.52,0.12,0.067,53.0,0.9971,0.57,9.1,5
8.9,0.4,0.32,0.087,47.0,0.9991,0.77,10.5,7
9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5
9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5
12.0,0.45,0.55,0.073,49.0,0.9997,0.76,10.3,6
7.5,0.4,0.12,0.092,53.0,0.9967,0.7,10.3,6
8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7
11.6,0.42,0.53,0.105,98.0,1.001,0.95,9.2,5
8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7
11.0,0.2,0.48,0.3429999999999999,18.0,0.9979,0.71,10.5,5
10.4,0.55,0.23,0.091,48.0,0.9994,0.64,10.3,6
6.9,0.36,0.25,0.098,16.0,0.9964,0.6,10.1,6
13.3,0.34,0.52,0.094,53.0,1.0014,0.81,9.5,6
10.8,0.5,0.46,0.073,27.0,1.0001,0.64,9.5,5
10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9,5
7.1,0.63,0.06,0.083,29.0,0.99855,0.73,9.6,5
7.2,0.65,0.02,0.094,31.0,0.9993,0.8,9.7,5
6.9,0.67,0.06,0.08,33.0,0.99845,0.71,9.6,5
7.5,0.53,0.06,0.086,44.0,0.9965,0.59,10.7,6
11.1,0.18,0.48,0.068,15.0,0.9973,0.64,10.1,6
8.3,0.705,0.12,0.092,28.0,0.9994,0.72,10.0,5
7.4,0.67,0.12,0.186,21.0,0.996,0.54,9.5,5
8.4,0.65,0.6,0.1119999999999999,90.0,0.9973,0.52,9.2,5
10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6
7.6,0.62,0.32,0.0819999999999999,54.0,0.9966,0.52,9.4,5
10.3,0.41,0.42,0.213,14.0,0.9994,0.62,9.5,6
10.3,0.43,0.44,0.214,12.0,0.9994,0.63,9.5,6
7.4,0.29,0.38,0.062,30.0,0.9968,0.53,9.5,6
10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6
7.9,0.53,0.24,0.072,105.0,0.996,0.54,9.4,6
9.0,0.46,0.31,0.093,98.0,0.99815,0.63,9.5,6
8.6,0.47,0.3,0.076,135.0,0.9976,0.53,9.4,5
7.4,0.36,0.29,0.087,72.0,0.99645,0.68,11.0,5
7.1,0.35,0.29,0.096,53.0,0.9962,0.65,11.0,6
9.6,0.56,0.23,0.102,92.0,0.9996,0.65,10.1,5
9.6,0.77,0.12,0.0819999999999999,74.0,0.99865,0.64,10.4,6
9.8,0.66,0.39,0.083,59.0,0.9989,0.71,11.5,7
9.6,0.77,0.12,0.0819999999999999,74.0,0.99865,0.64,10.4,6
